Line#,Item Code,Description,Pack/Size,Qty,Date Delivered
1,100001,ELLSWORTH S/C ONION SEASONING 25LB,1/25LB,1,2026-08-01
2,100002,DEEP SELECT BHINDI CUT OKRA FRZ 12OZ,12/12OZ,3,2026-08-01
3,100003,LIPMAN CUCUMBER SUPER SELECT,1/CS,4,2026-08-01
4,100004,FCF BASIL PESTO BOWTIE PASTA KIT #404637,6/EA,2,2026-08-01
5,100005,G&G MEX STREET CORN TRAIL MIX 8Z,12/8OZ,5,2026-08-01
6,100006,FG20004 CUCUMBER SLICED 16OZ,12/16OZ,3,2026-08-01
7,100007,TWIN SIS WHATCOM BLUE CHEESE 2.5LB,1/2.5LB,2,2026-08-01
8,100008,CUT FRESH FRUIT MIX CANT/HONEY/PINE,4/5LB,2,2026-08-01
9,100009,RM SMOKED MOZZ HOT LINKS XL,10/EA,3,2026-08-01
10,100010,IL1014A LOTTE CRUNCH CONE STRAWB,24CT,2,2026-08-01
11,100011,TWIN SIS CHEDDAR CHEESE 2LB,1/2LB,1,2026-08-01
12,100012,BANANAS 40LB CASE,1/CS,2,2026-08-01
