Product Code,Product Description,Case Pack,Qty Ordered,Delivery Date
200001,ORGANIC MORINGA PWDR 15KG BULK GJ96,1/15KG,1,2026-08-02
200002,D DIOSES NUEZ ICE POP,24/EA,4,2026-08-02
200003,LOWES FD S/C ONION CHIPS 8Z,9/8OZ,4,2026-08-02
200004,CARLEYS SOFT BAKE ICED LEMON CKIE 5.34Z,12/5.34OZ,3,2026-08-02
200005,L&B CURRY POWDER SWEET,12/EA,2,2026-08-02
200006,KLONG KONE SHRIMP PASTE M 16Z,24/16OZ,2,2026-08-02
200007,NATURE MILLS VALLARAI RICE MIX 200G,20/200G,3,2026-08-02
200008,USA OG2 LEEKS,1/CS,2,2026-08-02
200009,C SWEET MAAMOUL DATES 8Z,12/8OZ,2,2026-08-02
200010,SAPORI AMARETTI ALMOND CKIE 175G,12/175G,2,2026-08-02
200011,UNCLE RAYS BBQ KETTLE CHIPS 8OZ,9/8OZ,3,2026-08-02
200012,GROUND BEEF 80/20 CHUB 10LB,1/10LB,2,2026-08-02
200013,NATURE VALLEY GRANOLA BARS 24CT,24CT,4,2026-08-02
