Item,Qty,Unit,Received
MARQUESITA CHOC/VAINILLA CAKES,2,case,2026-08-03
SOMA KITCHEN ASAFOETIDA 4Z,3,each,2026-08-03
CELEBRATION SENNA LEAF TEA 24CT,2,box,2026-08-03
CLEAN-TAIL COCONUT BRD BFLY SHRIMP 21/25,4,bag,2026-08-03
PRIME NUTR TAURINE PERFORMANCE 125SV,1,bottle,2026-08-03
CALAIS GRAPE JELLY 1GAL,2,jug,2026-08-03
WINDSOR SEA SALT GRINDER RFL 255G,3,each,2026-08-03
TOASTED CHERRY BISCOTTI,2,box,2026-08-03
YOMAN CUCUMBER HUNAN FLAVOR,3,jar,2026-08-03
R&M INSTANT MILK TEA HONEYDEW,2,box,2026-08-03
LIPTON GREEN TEA 100CT,2,box,2026-08-03
DISH SOAP CONCENTRATE 1GAL,1,jug,2026-08-03
